"","pca","ica","lle"
"0","0.9218713450292395","0.9112280701754385","0.927251461988304"
"1","0.9492397660818713","0.9476023391812864","0.9226900584795321"
"2","0.9536842105263156","0.9514619883040935","0.9290058479532162"
"3","0.967719298245614","0.9661988304093566","0.930409356725146"
"4","0.971578947368421","0.9694736842105263","0.9295906432748536"
"5","0.9700584795321637","0.9716959064327486","0.9367251461988303"
"6","0.9715789473684211","0.9679532163742689","0.9297076023391811"
"7","0.9728654970760234","0.9719298245614034","0.9335672514619884"
"8","0.974502923976608","0.9739181286549706","0.9401169590643275"
"9","0.9688888888888889","0.975438596491228","0.9456140350877191"
"",,,
